ICP,Plataforma,Tipo,Texto
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),Mais espaço pros filhos no [Bairro]
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),Hora de trocar o compacto por um maior
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),"3 quartos, varanda gourmet e melhor bairro"
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),O upgrade que sua família merece
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),Saia do apê apertado sem sair do orçamento
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),"Mais quarto, mais lazer, mesmo bairro que você ama"
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),A casa que cresce junto com a sua família
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),Troque de apê usando o seu como entrada
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),Espaço de verdade pra quem trabalha em casa
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),3 quartos no [Bairro] com lazer completo
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),Da sala pequena pra varanda gourmet
Upgrade / Médio padrão (família crescendo),Meta,Texto primário,"A família cresceu e o apê continuou do mesmo tamanho? Esse de 3 quartos no [Bairro] tem varanda gourmet, suíte e lazer completo. Aceito seu imóvel atual como entrada. Chama no WhatsApp."
Upgrade / Médio padrão (família crescendo),Meta,Texto primário,"Mais um filho, home office, visitas… e o espaço some. Hora do upgrade: 3 quartos, 2 vagas, varanda gourmet. Te mostro por dentro no WhatsApp."
Upgrade / Médio padrão (família crescendo),Meta,Texto primário,"Você merece mais espaço sem mudar de cidade. 3 quartos no mesmo bairro que você já gosta, com lazer completo. Me chama que eu te explico a condição."
Upgrade / Médio padrão (família crescendo),Meta,Texto primário,"Trocar de apê é mais fácil do que parece: uso o seu atual na negociação. 3 quartos, suíte, varanda gourmet. Conversa comigo no WhatsApp."
Upgrade / Médio padrão (família crescendo),Meta,Texto primário,"Espaço pros filhos brincarem, varanda pra receber, suíte pra você. Esse apê foi feito pra próxima fase da sua família. Bora ver por dentro?"
Upgrade / Médio padrão (família crescendo),Meta,Texto primário,Seu apê pequeno pode ser a entrada do seu apê grande. Te mostro como no WhatsApp — sem compromisso.
Alto padrão / Frente-mar,Meta,Título (headline),"Cobertura frente-mar, pronta pra morar"
Alto padrão / Frente-mar,Meta,Título (headline),Vista permanente: não tem prédio na frente
Alto padrão / Frente-mar,Meta,Título (headline),Alto padrão no [Bairro] mais valorizado
Alto padrão / Frente-mar,Meta,Título (headline),"3 suítes, 2 vagas e o mar como vizinho"
Alto padrão / Frente-mar,Meta,Título (headline),O endereço que fala por você
Alto padrão / Frente-mar,Meta,Título (headline),"Frente-mar de verdade, não 'vista lateral'"
Alto padrão / Frente-mar,Meta,Título (headline),Cobertura duplex com piscina privativa
Alto padrão / Frente-mar,Meta,Título (headline),Para quem já tem e quer o melhor
Alto padrão / Frente-mar,Meta,Título (headline),Lazer de resort no seu condomínio
Alto padrão / Frente-mar,Meta,Título (headline),Acordar com o mar todos os dias
Alto padrão / Frente-mar,Meta,Título (headline),Alto padrão pronto pra morar — agende sua visita
Alto padrão / Frente-mar,Meta,Título (headline),Exclusividade frente-mar no [Bairro]
Alto padrão / Frente-mar,Meta,Texto primário,"Vista permanente para o mar, 3 suítes, 2 vagas e lazer de resort. Uma cobertura frente-mar no [Bairro] que não depende de sorte: não tem prédio na frente. Agende sua visita pelo WhatsApp."
Alto padrão / Frente-mar,Meta,Texto primário,"Você trabalhou pra chegar aqui. Que tal acordar com o mar todos os dias? Cobertura frente-mar, acabamento de alto padrão, pronta pra morar. Vamos conversar?"
Alto padrão / Frente-mar,Meta,Texto primário,"Endereço, vista e acabamento que combinam com o seu momento. Cobertura no [Bairro] com piscina privativa. Atendimento reservado pelo WhatsApp."
Alto padrão / Frente-mar,Meta,Texto primário,Frente-mar de verdade é raro. Essa unidade tem vista permanente e lazer completo. Posso te mostrar pessoalmente — me chama no WhatsApp.
Alto padrão / Frente-mar,Meta,Texto primário,"Quem busca alto padrão não quer 'mais um apê'. Quer o melhor endereço, a melhor vista, o melhor acabamento. É exatamente isso. Agende sua visita."
Alto padrão / Frente-mar,Meta,Texto primário,"Discrição, exclusividade e o mar na sua janela. Atendimento personalizado pelo WhatsApp para essa cobertura frente-mar."
Investidor / Renda de temporada,Meta,Título (headline),O aluguel paga a parcela: studio frente-mar
Investidor / Renda de temporada,Meta,Título (headline),Investidor: receba o estudo de rentabilidade
Investidor / Renda de temporada,Meta,Título (headline),Renda de temporada na praia mais procurada
Investidor / Renda de temporada,Meta,Título (headline),Studio que se paga com Airbnb
Investidor / Renda de temporada,Meta,Título (headline),Valorização + renda no [Bairro] turístico
Investidor / Renda de temporada,Meta,Título (headline),Diversifique seu patrimônio com tijolo
Investidor / Renda de temporada,Meta,Título (headline),ROI de temporada que o CDB não dá
Investidor / Renda de temporada,Meta,Título (headline),"Comprou na planta, valorizou na entrega"
Investidor / Renda de temporada,Meta,Título (headline),"Imóvel pra render, não pra morar"
Investidor / Renda de temporada,Meta,Título (headline),Frente-mar: alta demanda o ano inteiro
Investidor / Renda de temporada,Meta,Título (headline),Seu dinheiro rendendo com vista pro mar
Investidor / Renda de temporada,Meta,Título (headline),Studio frente-mar com gestão de locação
Investidor / Renda de temporada,Meta,Texto primário,Esse studio frente-mar foi feito pra render: alta demanda de temporada o ano inteiro e o aluguel cobrindo a parcela. Quer o estudo de rentabilidade da unidade? Me chama no WhatsApp que eu te envio.
Investidor / Renda de temporada,Meta,Texto primário,"Enquanto o CDB rende pouco, um studio bem localizado rende aluguel + valorização. Te mando o estudo completo com projeção de ROI. Chama no WhatsApp."
Investidor / Renda de temporada,Meta,Texto primário,"Investir em imóvel na praia mais procurada não é sorte, é estratégia. Recebe o estudo de rentabilidade e a projeção de ocupação. Me manda mensagem."
Investidor / Renda de temporada,Meta,Texto primário,Comprar na planta hoje é valorizar na entrega. Studio frente-mar com gestão de locação inclusa. Quer os números? Te envio pelo WhatsApp.
Investidor / Renda de temporada,Meta,Texto primário,Patrimônio que rende todo mês e ainda valoriza. Studio frente-mar com alta demanda de temporada. Receba o estudo de rentabilidade agora.
Investidor / Renda de temporada,Meta,Texto primário,Diversificar com tijolo é segurança + renda. Te mostro a projeção de retorno desse studio frente-mar. Chama no WhatsApp.
Todos,Google Search,Headline (≤30c),Apartamento em [Cidade]
Todos,Google Search,Headline (≤30c),2 Quartos a Partir de R$389mil
Todos,Google Search,Headline (≤30c),Pronto pra Morar
Todos,Google Search,Headline (≤30c),Financia pela Caixa
Todos,Google Search,Headline (≤30c),Use o FGTS na Entrada
Todos,Google Search,Headline (≤30c),Visita no Mesmo Dia
Todos,Google Search,Headline (≤30c),Frente-Mar em [Cidade]
Todos,Google Search,Headline (≤30c),Alto Padrão [Bairro]
Todos,Google Search,Headline (≤30c),Studio para Investir
Todos,Google Search,Headline (≤30c),Fale no WhatsApp Agora
Todos,Google Search,Headline (≤30c),Sem Burocracia
Todos,Google Search,Headline (≤30c),Agende sua Visita
Todos,Google Search,Headline (≤30c),Imóvel na Planta [Cidade]
Todos,Google Search,Headline (≤30c),3 Quartos com Lazer
Todos,Google Search,Headline (≤30c),Condição Especial Hoje
Todos,Google Search,Descrição (≤90c),Apartamentos prontos pra morar no [Bairro]. Financia pela Caixa e usa FGTS. Fale no WhatsApp.
Todos,Google Search,Descrição (≤90c),"Visita no mesmo dia, sem burocracia. Agende agora e conheça as unidades disponíveis."
Todos,Google Search,Descrição (≤90c),Frente-mar com vista permanente. Atendimento rápido pelo WhatsApp. Agende sua visita.
Todos,Google Search,Descrição (≤90c),Studio para renda de temporada. Receba o estudo de rentabilidade. Fale com um especialista.
Todos,Google Search,Descrição (≤90c),Saia do aluguel ainda este ano. Simule seu financiamento em 2 minutos. Chama no WhatsApp.
Todos,Google Search,Descrição (≤90c),"3 quartos, varanda gourmet e lazer completo. Aceito seu imóvel na troca. Agende a visita."
Todos,TikTok,Gancho/legenda,Saiu do aluguel aos 26 👀 olha o apê novo
Todos,TikTok,Gancho/legenda,POV: você descobre que a parcela é igual ao aluguel
Todos,TikTok,Gancho/legenda,Ninguém te conta que dá pra usar o FGTS assim
Todos,TikTok,Gancho/legenda,Esse apê de R$389 mil tem algo que os caros não têm
Todos,TikTok,Gancho/legenda,Comenta 'QUERO' que eu te mando a simulação
Todos,TikTok,Gancho/legenda,3 motivos pra sair do aluguel esse ano (o 2 choca)
Todos,TikTok,Gancho/legenda,Mostrei esse apê e venderam no mesmo dia
Todos,TikTok,Gancho/legenda,"Investidor, esse studio se paga sozinho 🏖️"
Todos,Todas,CTA,Enviar mensagem
Todos,Todas,CTA,Falar no WhatsApp
Todos,Todas,CTA,Saiba mais
Todos,Todas,CTA,Quero simular
Todos,Todas,CTA,Agendar visita
Todos,Todas,CTA,Receber o estudo
Todos,Todas,CTA,Ver condição
Todos,Todas,CTA,Quero saber o preço
Todos,Todas,CTA,Chamar agora
Todos,Todas,CTA,Garantir minha unidade
